"station_code","sample_date","sample_time","sample_id","depth_adjust","avg_time_per_rev","flow_start_meter","flow_end_meter","flow_set_time","river_left_depth","river_center_depth","river_right_depth","thalweg","cone","start_counter","counter","debris_tubs","velocity","turbidity","trap_fishing","partial_sample","sub_week","trap_start_date","trap_start_time","weather","habitat","trap_sample_type","diel","debris_type","gear_condition","baileys_efficiency"
"LCC","2020-12-16","10:18:30","351_20",28,37,528000,536569,334,3.2,3.5999999,3.5999999,TRUE,0.5,0,4325,0.25,2.24487275449102,1.45,TRUE,FALSE,"A","2020-12-15","09:44:48","partly cloudy","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-12-16","13:09:00","351_20",28,35,667000,675175,300,3.5,3.4000001,3,TRUE,1,0,7625,0.80000001,2.384375,1.3099999,TRUE,FALSE,"A","2020-12-15","13:13:16","overcast","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UCC","2020-12-17","07:22:10","352_20",29,19,537000,549742,315,3.4000001,3.5,3.8,TRUE,0.5,0,0,1.2,3.53944444444444,2.22,TRUE,FALSE,"A","2020-12-16","07:35:28","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"LCC","2020-12-17","09:14:49","352_20",28,36,550000,557635,300,3.3,3.5999999,3.7,TRUE,0.5,0,757,0.2,2.226875,2.0699999,TRUE,TRUE,"A","2020-12-16","10:18:30","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","The cone is not rotating",NA
"UBC","2020-12-17","12:00:00","352_20",29,33,675000,685872,353,4,3.8,3.8,TRUE,1,0,7087,5.5,2.69490084985836,5.29,TRUE,FALSE,"A","2020-12-16","13:09:00","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UCC","2020-12-18","07:27:55","353_20",28,21,557000,582094,660,3.3,3.3,3.7,TRUE,0.5,0,11004,1,3.32685606060606,1.16,TRUE,FALSE,"A","2020-12-17","07:22:10","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"LCC","2020-12-07","12:28:13","342_20",28,38,228000,246442,728,3.5999999,3.7,3.5999999,TRUE,0.5,0,7144,3,2.21658653846154,2.73,TRUE,FALSE,"A","2020-12-06","11:12:11","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UCC","2020-11-29","08:11:53","334_20",29,21,32000,43990,300,3.7,4,4,TRUE,0.5,0,11387,2.3,3.49708333333333,1.0599999,TRUE,FALSE,"A","2020-11-28","08:17:27","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"LCC","2020-11-29","09:50:54","334_20",28,38,44000,53283,365,3.5999999,3.8,3.5999999,TRUE,0.5,0,6934,0.80000001,2.22537671232877,1.9299999,TRUE,FALSE,"A","2020-11-28","09:07:17","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-11-29","11:54:37","334_20",29,34,506000,513976,311,3.5999999,3.4000001,3.3,TRUE,1,0,7443,2.8,2.24405144694534,1.79,TRUE,FALSE,"A","2020-11-28","11:39:21","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UCC","2020-11-30","08:27:44","335_20",29,24,53000,69273,425,3.7,4,3.4000001,TRUE,0.5,0,11255,1.3,3.35032352941177,1.3,TRUE,FALSE,"A","2020-11-29","08:11:53","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"LCC","2020-11-30","10:58:12","335_20",28,37,69000,76782,306,3.5999999,3.5999999,3.5999999,TRUE,0.5,0,7270,0.89999998,2.22524509803922,1.27,TRUE,FALSE,"A","2020-11-29","09:50:54","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-11-30","14:01:23","335_20",27,36,514000,521692,300,3.5,3.4000001,2.8,TRUE,1,0,7966,2,2.2435,2.54,TRUE,FALSE,"A","2020-11-29","11:54:37","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UCC","2020-12-01","08:47:17","336_20",28,28,76000,101513,656,3.7,4.0999999,3.4000001,TRUE,0.5,0,11621,3,3.40302972560976,1.39,TRUE,FALSE,"A","2020-11-30","08:27:44","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-12-01","14:26:00","336_20",27,39,522000,528506,300,3.5999999,3.5999999,3.3,TRUE,1,0,7286,9,1.89758333333333,2.5799999,FALSE,FALSE,"A","2020-11-30","14:01:23","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UCC","2020-12-02","07:13:02","337_20",28,21,109000,123506,330,3.7,3.9000001,3.9000001,TRUE,0.5,0,11205,4.5,3.84628787878788,2.02,TRUE,FALSE,"A","2020-12-01","08:47:17","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"LCC","2020-12-02","09:07:13","337_20",27,38,124000,132416,326,3.5999999,3.5999999,3.5999999,TRUE,0.5,0,5786,6.4000001,2.25889570552147,2.5999999,TRUE,FALSE,"A","2020-12-01","12:38:53","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UCC","2020-12-03","07:42:00","338_20",28,21,132000,145520,319,3.8,3.9000001,3.9000001,TRUE,0.5,0,7672,1.4,3.70846394984326,1.9299999,TRUE,FALSE,"A","2020-12-02","07:13:02","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-12-03","13:00:34","338_20",27,36,541000,549133,305,3.5999999,3.4000001,3.4000001,TRUE,1,0,7431,1.5,2.33323770491803,2.5699999,TRUE,FALSE,"A","2020-12-02","12:03:25","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"LCC","2021-05-18","08:10:27","138_21",27,40,284000,292038,327,3.5,3.3,3.5,TRUE,0.5,0,5447,0.40000001,2.15084097859327,1.65,TRUE,FALSE,"A","2021-05-17","11:41:50","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-10-01","12:25:18","275_20",27,39,785000,800881,622,3.5,3.4000001,3.0999999,TRUE,1,0,3214,0.5,2.23406350482315,1.51,TRUE,FALSE,"B","2020-09-30","07:27:32","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-10-03","07:47:42","277_20",27,36,819000,829367,420,3.5,3.5999999,3.0999999,TRUE,1,0,6581,0.30000001,2.15979166666667,3.1700001,TRUE,FALSE,"B","2020-10-02","07:57:09","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-10-04","08:09:22","278_20",27,39,830000,847788,720,3.4000001,3.3,3,TRUE,1,0,6754,0.60000002,2.16173611111111,2.55,TRUE,FALSE,"B","2020-10-03","07:47:42","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-10-05","07:50:14","279_20",27,42,848000,861393,566,3.4000001,3.3,3.0999999,TRUE,1,0,6650,0.5,2.07047261484099,1.67,TRUE,FALSE,"B","2020-10-04","08:09:22","overcast","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-10-06","08:10:15","280_20",27,38,861000,884337,926,3.4000001,3.3,3,TRUE,1,0,6876,0.5,2.20517008639309,1.58,TRUE,FALSE,"B","2020-10-05","07:50:14","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-10-07","08:41:52","281_20",27,39,885000,901473,656,3.4000001,3.3,3,TRUE,1,0,6706,0.75,2.19723704268293,1.89,TRUE,FALSE,"A","2020-10-06","08:10:15","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-10-08","09:45:57","282_20",27,42,901000,916234,600,3.3,3.3,3,TRUE,1,0,6886,1.25,2.221625,7.8899999,TRUE,FALSE,"A","2020-10-07","08:41:52","overcast","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-10-09","07:48:10","283_20",27,38,917000,924823,310,3.4000001,3.5,3,TRUE,1,0,6821,0.5,2.20810483870968,2.0699999,TRUE,FALSE,"A","2020-10-08","09:45:57","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-10-10","07:46:54","284_20",27,42,925000,932314,300,3.4000001,3.3,2.9000001,TRUE,1,0,6600,0.89999998,2.13325,1.67,TRUE,FALSE,"A","2020-10-09","07:48:10","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-10-11","08:28:09","285_20",27,39,932000,951684,780,3.5999999,3.4000001,3.2,TRUE,1,0,7238,1,2.20814102564103,2.0599999,TRUE,FALSE,"A","2020-10-10","07:46:54","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-10-12","07:54:55","286_20",27,40,952000,959498,300,3.5,3.5,3.0999999,TRUE,1,0,6734,2,2.18691666666667,2.6800001,TRUE,FALSE,"A","2020-10-11","08:28:09","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"LCC","2021-01-11","11:16:01","011_21",27,35,96000,103873,300,3.2,3.7,3.5999999,TRUE,0.5,0,7017,0.1,2.29629166666667,1.48,TRUE,FALSE,"A","2021-01-10","12:03:00","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2021-01-11","15:00:00","011_21",28,51,863000,868921,300,4.0999999,4,4.1999998,TRUE,1,0,5392,0,1.72695833333333,1.85,TRUE,FALSE,"A","2021-01-10","14:00:00","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UCC","2021-01-12","07:40:55","012_21",29,20,104000,123985,503,3.5,3.7,3.8,TRUE,0.5,0,11647,0.2,3.47651590457256,1.6799999,TRUE,FALSE,"A","2021-01-11","10:13:00","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"LCC","2020-12-10","12:59:01","345_20",28,40,325000,343144,720,3.5999999,3.7,3.5999999,TRUE,0.5,0,3681,1.55,2.205,0.82999998,TRUE,FALSE,"A","2020-12-09","10:56:21","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-12-10","16:50:47","345_20",28,40,599000,606771,300,3.5,3.4000001,3,TRUE,1,0,7620,7.3000002,2.26654166666667,1.39,TRUE,FALSE,"A","2020-12-09","13:39:56","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UCC","2020-12-11","07:37:07","346_20",28,20,343000,355160,300,3.5,3.7,3.5999999,TRUE,0.5,0,11220,2,3.54666666666667,1.05,TRUE,FALSE,"A","2020-12-10","08:46:17","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"LCC","2020-12-11","10:17:00","346_20",28,38,355000,362701,306,3.5999999,3.7,3.5999999,TRUE,0.5,0,6013,0.5,2.20208333333333,1.37,TRUE,FALSE,"A","2020-12-10","12:59:01","partly cloudy","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-12-11","14:51:35","346_20",28,37,607000,614925,312,3.5999999,3.5999999,3,TRUE,1,0,6400,1.1,2.22255608974359,1.38,TRUE,FALSE,"A","2020-12-10","16:50:47","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UCC","2020-12-12","07:53:57","347_20",29,19,367000,379376,300,3.2,3.8,3.8,TRUE,0.5,0,7086,1.8,3.60966666666667,2.1099999,TRUE,FALSE,"A","2020-12-11","07:37:07","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"LCC","2020-12-12","10:46:10","347_20",28,37,380000,393663,540,3.5999999,3.5999999,3.5,TRUE,0.5,0,4640,0.5,2.21391203703704,1.3200001,TRUE,FALSE,"A","2020-12-11","10:32:09","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"LCC","2020-12-18","09:09:56","353_20",28,37,582000,589893,300,3.5999999,3.5999999,3.7,TRUE,0.5,0,5700,0.5,2.302125,1.3099999,TRUE,FALSE,"A","2020-12-17","09:14:49","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-12-18","14:24:28","353_20",27,47,686000,693819,300,3.4000001,3.0999999,2.9000001,TRUE,1,0,5163,3.3,2.28054166666667,7.02,TRUE,FALSE,"A","2020-12-17","12:00:00","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UCC","2020-12-19","08:09:54","354_20",29,20,590000,607082,450,3.4000001,3.5,3.8,TRUE,0.5,0,0,0.80000001,3.3215,1.73,TRUE,FALSE,"A","2020-12-18","07:27:55","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"LCC","2020-12-19","10:01:51","354_20",28,37,607000,615674,360,3.5999999,3.7,3.5999999,TRUE,0.5,0,2170,0.30000001,2.10826388888889,1.84,TRUE,FALSE,"A","2020-12-18","09:09:56","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UCC","2020-12-20","07:29:22","355_20",29,20,616000,627673,300,3.4000001,3.7,3.7,TRUE,0.5,0,12501,0.5,3.404625,1.55,TRUE,FALSE,"A","2020-12-19","08:09:54","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"LCC","2020-12-20","09:10:03","355_20",28,36,628000,637634,370,3.5999999,3.7,3.5999999,TRUE,0.5,0,6682,0.2,2.27831081081081,1.9299999,TRUE,FALSE,"A","2020-12-19","10:01:51","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-11-20","14:22:16","325_20",27,32,446000,456545,405,3.5999999,3.5,3.3,TRUE,1,0,7841,2.25,2.27824074074074,2.1500001,TRUE,FALSE,"A","2020-11-19","15:42:29","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-10-13","08:02:59","287_20",27,39,959000,973040,556,3.4000001,3.5,3.0999999,TRUE,1,0,7082,0.5,2.20953237410072,1.9,TRUE,FALSE,"A","2020-10-12","07:54:55","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-10-14","08:24:25","288_20",27,38,973000,987370,636,3.4000001,3.3,3.0999999,TRUE,1,0,6719,0.30000001,1.97700471698113,1.64,TRUE,FALSE,"A","2020-10-13","08:02:59","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-10-16","08:04:33","290_20",27,37,8000,21570,544,3.5,3.4000001,3.0999999,TRUE,1,0,5801,5.3000002,2.18267463235294,2.3699999,TRUE,FALSE,"A","2020-10-15","11:40:50","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"LCC","2021-01-12","08:43:27","012_21",28,35,124000,133469,360,3.7,3.7,3.5999999,TRUE,0.5,0,6609,0.1,2.30149305555556,1.5599999,TRUE,FALSE,"A","2021-01-11","11:16:00","precipitation","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2021-01-12","11:40:32","012_21",27,51,869000,875025,305,4.0999999,4.1999998,4.0999999,TRUE,1,0,4564,0.1,1.72848360655738,2.03,TRUE,FALSE,"A","2021-01-11","15:00:00","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UCC","2021-01-13","07:29:16","013_21",29,20,133000,145272,303,3.5999999,4,4,TRUE,0.5,0,13198,0.40000001,3.54389438943894,1.89,TRUE,FALSE,"A","2021-01-12","07:40:55","precipitation","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"LCC","2021-01-13","08:49:36","013_21",28,34,145000,154142,341,3.7,3.7,3.5999999,TRUE,0.5,0,7574,0.1,2.3458211143695,1.7,TRUE,FALSE,"A","2021-01-12","08:43:27","precipitation","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2021-01-13","11:03:04","013_21",27,52,875000,881486,322,4.0999999,4,4.0999999,TRUE,1,0,5155,0.1,1.7625,1.85,TRUE,FALSE,"A","2021-01-12","11:40:32","overcast","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UCC","2021-01-14","08:12:23","014_21",29,20,154000,167197,330,3.5999999,3.9000001,3.9000001,TRUE,0.5,0,13766,0.30000001,3.49920454545454,1.0700001,TRUE,FALSE,"A","2021-01-13","07:29:16","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"LCC","2021-01-14","09:31:11","014_21",28,34,167000,174907,300,3.3,3.7,3.5999999,TRUE,0.5,0,7879,0.1,2.30620833333333,1.49,TRUE,FALSE,"A","2021-01-13","08:49:36","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2021-01-14","14:08:00","014_21",28,42,881000,887414,306,4.3000002,4.3000002,4,TRUE,1,0,6399,0.050000001,1.83406862745098,2.3800001,TRUE,FALSE,"A","2021-01-13","11:03:04","sunny","run","non-intensive","day","Leaves","Trap is fishing normal",NA
"UCC","2021-01-15","09:02:49","015_21",29,21,175000,195221,510,3.5999999,3.8,3.9000001,TRUE,0.5,0,13513,0.1,3.46928921568627,0.73000002,TRUE,FALSE,"A","2021-01-14","08:12:23","partly cloudy","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"LCC","2021-01-15","10:35:20","015_21",28,36,195000,207619,480,3.7,3.7,3.5999999,TRUE,0.5,0,7788,0.1,2.30033854166667,0.94,TRUE,FALSE,"A","2021-01-14","09:31:11","partly cloudy","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2021-01-15","14:57:22","015_21",28,47,888000,896017,420,4.1999998,4,4.0999999,TRUE,1,0,5860,0.1,1.67020833333333,1.71,TRUE,FALSE,"A","2021-01-14","14:08:00","overcast","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UCC","2020-12-04","08:07:43","339_20",28,20,155000,168763,330,3.8,3.9000001,3.7,TRUE,0.5,0,18632,1.1,3.6492803030303,1.3,TRUE,FALSE,"A","2020-12-03","07:42:00","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"LCC","2020-12-04","10:20:50","339_20",28,36,169000,176563,303,3.2,3.5999999,3.5999999,TRUE,0.5,0,6976,0.5,2.18403465346535,1.77,TRUE,FALSE,"A","2020-12-03","10:29:56","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-12-04","13:28:30","339_20",29,36,549000,556496,312,3.5,3.3,3.0999999,TRUE,1,0,7311,3,2.10224358974359,1.58,TRUE,FALSE,"A","2020-12-03","08:04:00","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UCC","2020-12-05","08:32:10","340_20",28,20,176000,187845,308,3.5999999,3.9000001,3.8,TRUE,0.5,0,11949,2.3,3.36505681818182,1.66,TRUE,FALSE,"A","2020-12-04","08:07:43","overcast","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"LCC","2020-12-05","12:48:21","340_20",29,37,187000,194681,300,3.5999999,3.7,3.5,TRUE,0.5,0,4304,1.5,2.24029166666667,1.16,TRUE,TRUE,"A","2020-12-04","10:20:50","overcast","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-12-05","13:46:00","340_20",27,37,557000,569068,450,3.5,3.4000001,3.2,TRUE,1,0,7205,3.0999999,2.34655555555555,1.61,TRUE,FALSE,"A","2020-12-04","13:28:30","overcast","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UCC","2020-12-06","07:59:46","341_20",29,21,195000,207565,309,3.7,3.9000001,4.1999998,TRUE,0.5,0,10280,1.5,3.5580501618123,1.1799999,TRUE,FALSE,"A","2020-12-05","08:32:10","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"LCC","2020-12-06","11:12:11","341_20",28,36,206000,214056,323,3.7,3.8,3.5999999,TRUE,0.5,0,6547,2.2,2.18235294117647,4.4200001,TRUE,FALSE,"A","2020-12-05","12:48:21","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-12-06","16:24:00","341_20",27,36,569000,576213,301,3.4000001,3.3,3,TRUE,1,0,7074,18.5,2.0968023255814,1.47,TRUE,FALSE,"A","2020-12-05","13:46:00","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-12-07","15:22:02","342_20",27,43,576000,583532,300,3.3,3.4000001,3,TRUE,1,0,6343,11.5,2.19683333333333,1.66,TRUE,FALSE,"A","2020-12-06","16:24:00","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"LCC","2020-12-08","07:44:21","343_20",28,37,248000,258873,433,3.5,3.5999999,3.5,TRUE,0.5,0,5605,1,2.19719976905312,1.3099999,TRUE,FALSE,"A","2020-12-07","12:28:13","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UCC","2020-12-08","10:17:18","343_20",27,19,258000,270399,302,3.3,3.7,3.8,TRUE,0.5,0,4769,3.3,3.59242549668874,1.59,TRUE,FALSE,"A","2020-12-07","08:37:53","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-12-08","13:29:48","343_20",27,39,584000,591627,300,3.3,3.3,3.9000001,TRUE,1,0,6379,2.8,2.22454166666667,1.91,TRUE,FALSE,"A","2020-12-07","15:22:02","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UCC","2020-12-09","07:42:14","344_20",28,20,270000,301968,860,3.4000001,3.7,3.8,TRUE,0.5,0,7780,1.3,3.25255813953488,1.23,TRUE,FALSE,"A","2020-12-08","10:17:18","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-12-09","13:39:56","344_20",27,39,591000,599712,363,3.4000001,3.3,3,TRUE,1,0,6993,5.0999999,2.1,1.1900001,TRUE,FALSE,"A","2020-12-08","13:29:48","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-12-26","07:55:59","361_20",28,29,766000,776383,311,3.5999999,3.4000001,3,TRUE,1,0,4239,3.3,2.92126205787781,7.0500002,TRUE,TRUE,"A","2020-12-25","12:51:00","precipitation","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","The cone is not rotating",NA
"UBC","2020-10-20","08:08:14","294_20",28,39,72000,79366,304,3.4000001,3.3,3.0999999,TRUE,1,0,6146,1,2.12014802631579,3.05,TRUE,FALSE,"A","2020-10-19","10:59:02","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
