Date,Time,ºC,ºF
1/6/2022,17:30,9.829,49.6922
1/6/2022,18:00,9.854,49.7372
1/6/2022,18:30,9.854,49.7372
1/6/2022,19:00,9.879,49.7822
1/6/2022,19:30,9.879,49.7822
1/6/2022,20:00,9.879,49.7822
1/6/2022,20:30,9.879,49.7822
1/6/2022,21:00,9.879,49.7822
1/6/2022,21:30,9.879,49.7822
1/6/2022,22:00,9.854,49.7372
1/6/2022,22:30,9.854,49.7372
1/6/2022,23:00,9.854,49.7372
1/6/2022,23:30,9.854,49.7372
1/7/2022,0:00,9.854,49.7372
1/7/2022,0:30,9.854,49.7372
1/7/2022,1:00,9.829,49.6922
1/7/2022,1:30,9.854,49.7372
1/7/2022,2:00,9.829,49.6922
1/7/2022,2:30,9.805,49.649
1/7/2022,3:00,9.805,49.649
1/7/2022,3:30,9.805,49.649
1/7/2022,4:00,9.805,49.649
1/7/2022,4:30,9.805,49.649
1/7/2022,5:00,9.78,49.604
1/7/2022,5:30,9.78,49.604
1/7/2022,6:00,9.756,49.5608
1/7/2022,6:30,9.756,49.5608
1/7/2022,7:00,9.731,49.5158
1/7/2022,7:30,9.731,49.5158
1/7/2022,8:00,9.706,49.4708
1/7/2022,8:30,9.706,49.4708
1/7/2022,9:00,9.706,49.4708
1/7/2022,9:30,9.706,49.4708
1/7/2022,10:00,9.731,49.5158
1/7/2022,10:30,9.805,49.649
1/7/2022,11:00,9.829,49.6922
1/7/2022,11:30,9.903,49.8254
1/7/2022,12:00,9.928,49.8704
1/7/2022,12:30,9.928,49.8704
1/7/2022,13:00,9.952,49.9136
1/7/2022,13:30,9.952,49.9136
1/7/2022,14:00,10.051,50.0918
1/7/2022,14:30,10.051,50.0918
1/7/2022,15:00,10.051,50.0918
1/7/2022,15:30,10.051,50.0918
1/7/2022,16:00,10.026,50.0468
1/7/2022,16:30,10.051,50.0918
1/7/2022,17:00,10.051,50.0918
1/7/2022,17:30,10.026,50.0468
1/7/2022,18:00,10.001,50.0018
1/7/2022,18:30,9.977,49.9586
1/7/2022,19:00,9.952,49.9136
1/7/2022,19:30,9.903,49.8254
1/7/2022,20:00,9.879,49.7822
1/7/2022,20:30,9.854,49.7372
1/7/2022,21:00,9.829,49.6922
1/7/2022,21:30,9.829,49.6922
1/7/2022,22:00,9.805,49.649
1/7/2022,22:30,9.805,49.649
1/7/2022,23:00,9.78,49.604
1/7/2022,23:30,9.756,49.5608
1/8/2022,0:00,9.706,49.4708
1/8/2022,0:30,9.682,49.4276
1/8/2022,1:00,9.632,49.3376
1/8/2022,1:30,9.558,49.2044
1/8/2022,2:00,9.509,49.1162
1/8/2022,2:30,9.46,49.028
1/8/2022,3:00,9.41,48.938
1/8/2022,3:30,9.361,48.8498
1/8/2022,4:00,9.312,48.7616
1/8/2022,4:30,9.287,48.7166
1/8/2022,5:00,9.262,48.6716
1/8/2022,5:30,9.213,48.5834
1/8/2022,6:00,9.163,48.4934
1/8/2022,6:30,9.089,48.3602
1/8/2022,7:00,9.015,48.227
1/8/2022,7:30,8.941,48.0938
1/8/2022,8:00,8.841,47.9138
1/8/2022,8:30,8.767,47.7806
1/8/2022,9:00,8.643,47.5574
1/8/2022,9:30,8.543,47.3774
1/8/2022,10:00,8.519,47.3342
1/8/2022,10:30,8.519,47.3342
1/8/2022,11:00,8.494,47.2892
1/8/2022,11:30,8.543,47.3774
1/8/2022,12:00,8.593,47.4674
1/8/2022,12:30,8.668,47.6024
1/8/2022,13:00,8.767,47.7806
1/8/2022,13:30,8.841,47.9138
1/8/2022,14:00,8.916,48.0488
1/8/2022,14:30,8.941,48.0938
1/8/2022,15:00,8.965,48.137
1/8/2022,15:30,8.965,48.137
1/8/2022,16:00,8.941,48.0938
1/8/2022,16:30,8.891,48.0038
1/8/2022,17:00,8.841,47.9138
1/8/2022,17:30,8.792,47.8256
1/8/2022,18:00,8.717,47.6906
1/8/2022,18:30,8.668,47.6024
1/8/2022,19:00,8.618,47.5124
1/8/2022,19:30,8.568,47.4224
1/8/2022,20:00,8.519,47.3342
1/8/2022,20:30,8.494,47.2892
1/8/2022,21:00,8.419,47.1542
1/8/2022,21:30,8.369,47.0642
1/8/2022,22:00,8.319,46.9742
1/8/2022,22:30,8.27,46.886
1/8/2022,23:00,8.22,46.796
1/8/2022,23:30,8.195,46.751
1/9/2022,0:00,8.145,46.661
1/9/2022,0:30,8.095,46.571
1/9/2022,1:00,8.07,46.526
1/9/2022,1:30,8.02,46.436
1/9/2022,2:00,7.995,46.391
1/9/2022,2:30,7.945,46.301
1/9/2022,3:00,7.895,46.211
1/9/2022,3:30,7.82,46.076
1/9/2022,4:00,7.77,45.986
1/9/2022,4:30,7.72,45.896
1/9/2022,5:00,7.645,45.761
1/9/2022,5:30,7.569,45.6242
1/9/2022,6:00,7.519,45.5342
1/9/2022,6:30,7.444,45.3992
1/9/2022,7:00,7.393,45.3074
1/9/2022,7:30,7.318,45.1724
1/9/2022,8:00,7.268,45.0824
1/9/2022,8:30,7.217,44.9906
1/9/2022,9:00,7.167,44.9006
1/9/2022,9:30,7.142,44.8556
1/9/2022,10:00,7.167,44.9006
1/9/2022,10:30,7.192,44.9456
1/9/2022,11:00,7.268,45.0824
1/9/2022,11:30,7.368,45.2624
1/9/2022,12:00,7.494,45.4892
1/9/2022,12:30,7.619,45.7142
1/9/2022,13:00,7.72,45.896
1/9/2022,13:30,7.82,46.076
1/9/2022,14:00,7.945,46.301
1/9/2022,14:30,8.02,46.436
1/9/2022,15:00,8.045,46.481
1/9/2022,15:30,8.095,46.571
1/9/2022,16:00,8.095,46.571
1/9/2022,16:30,8.07,46.526
1/9/2022,17:00,8.02,46.436
1/9/2022,17:30,7.97,46.346
1/9/2022,18:00,7.945,46.301
1/9/2022,18:30,7.92,46.256
1/9/2022,19:00,7.895,46.211
1/9/2022,19:30,7.895,46.211
1/9/2022,20:00,7.895,46.211
1/9/2022,20:30,7.895,46.211
1/9/2022,21:00,7.87,46.166
1/9/2022,21:30,7.87,46.166
1/9/2022,22:00,7.845,46.121
1/9/2022,22:30,7.82,46.076
1/9/2022,23:00,7.82,46.076
1/9/2022,23:30,7.795,46.031
1/10/2022,0:00,7.795,46.031
1/10/2022,0:30,7.77,45.986
1/10/2022,1:00,7.77,45.986
1/10/2022,1:30,7.77,45.986
1/10/2022,2:00,7.77,45.986
1/10/2022,2:30,7.77,45.986
1/10/2022,3:00,7.77,45.986
1/10/2022,3:30,7.795,46.031
1/10/2022,4:00,7.77,45.986
1/10/2022,4:30,7.795,46.031
1/10/2022,5:00,7.795,46.031
1/10/2022,5:30,7.82,46.076
1/10/2022,6:00,7.82,46.076
1/10/2022,6:30,7.82,46.076
1/10/2022,7:00,7.82,46.076
1/10/2022,7:30,7.82,46.076
1/10/2022,8:00,7.82,46.076
1/10/2022,8:30,7.82,46.076
1/10/2022,9:00,7.82,46.076
1/10/2022,9:30,7.87,46.166
1/10/2022,10:00,7.945,46.301
1/10/2022,10:30,7.995,46.391
1/10/2022,11:00,8.07,46.526
1/10/2022,11:30,8.22,46.796
1/10/2022,12:00,8.319,46.9742
1/10/2022,12:30,8.494,47.2892
1/10/2022,13:00,8.643,47.5574
1/10/2022,13:30,8.742,47.7356
1/10/2022,14:00,8.866,47.9588
1/10/2022,14:30,8.965,48.137
1/10/2022,15:00,9.04,48.272
1/10/2022,15:30,9.064,48.3152
1/10/2022,16:00,9.114,48.4052
1/10/2022,16:30,9.114,48.4052
1/10/2022,17:00,9.089,48.3602
1/10/2022,17:30,9.064,48.3152
1/10/2022,18:00,9.015,48.227
1/10/2022,18:30,8.99,48.182
1/10/2022,19:00,8.965,48.137
1/10/2022,19:30,8.965,48.137
1/10/2022,20:00,8.941,48.0938
1/10/2022,20:30,8.916,48.0488
1/10/2022,21:00,8.916,48.0488
1/10/2022,21:30,8.866,47.9588
1/10/2022,22:00,8.866,47.9588
1/10/2022,22:30,8.817,47.8706
1/10/2022,23:00,8.792,47.8256
1/10/2022,23:30,8.767,47.7806
1/11/2022,0:00,8.742,47.7356
1/11/2022,0:30,8.717,47.6906
1/11/2022,1:00,8.693,47.6474
1/11/2022,1:30,8.668,47.6024
1/11/2022,2:00,8.618,47.5124
1/11/2022,2:30,8.593,47.4674
1/11/2022,3:00,8.543,47.3774
1/11/2022,3:30,8.519,47.3342
1/11/2022,4:00,8.519,47.3342
1/11/2022,4:30,8.469,47.2442
1/11/2022,5:00,8.444,47.1992
1/11/2022,5:30,8.419,47.1542
1/11/2022,6:00,8.394,47.1092
1/11/2022,6:30,8.369,47.0642
1/11/2022,7:00,8.369,47.0642
1/11/2022,7:30,8.344,47.0192
1/11/2022,8:00,8.295,46.931
1/11/2022,8:30,8.27,46.886
1/11/2022,9:00,8.27,46.886
1/11/2022,9:30,8.27,46.886
1/11/2022,10:00,8.369,47.0642
1/11/2022,10:30,8.469,47.2442
1/11/2022,11:00,8.568,47.4224
1/11/2022,11:30,8.693,47.6474
1/11/2022,12:00,8.792,47.8256
1/11/2022,12:30,8.866,47.9588
1/11/2022,13:00,9.015,48.227
1/11/2022,13:30,9.139,48.4502
1/11/2022,14:00,9.262,48.6716
1/11/2022,14:30,9.336,48.8048
1/11/2022,15:00,9.361,48.8498
1/11/2022,15:30,9.435,48.983
1/11/2022,16:00,9.485,49.073
1/11/2022,16:30,9.509,49.1162
1/11/2022,17:00,9.509,49.1162
1/11/2022,17:30,9.46,49.028
1/11/2022,18:00,9.386,48.8948
1/11/2022,18:30,9.336,48.8048
1/11/2022,19:00,9.312,48.7616
1/11/2022,19:30,9.262,48.6716
1/11/2022,20:00,9.262,48.6716
1/11/2022,20:30,9.213,48.5834
1/11/2022,21:00,9.213,48.5834
1/11/2022,21:30,9.188,48.5384
1/11/2022,22:00,9.163,48.4934
1/11/2022,22:30,9.114,48.4052
1/11/2022,23:00,9.089,48.3602
1/11/2022,23:30,9.04,48.272
1/12/2022,0:00,8.99,48.182
1/12/2022,0:30,8.941,48.0938
1/12/2022,1:00,8.916,48.0488
1/12/2022,1:30,8.841,47.9138
1/12/2022,2:00,8.792,47.8256
1/12/2022,2:30,8.717,47.6906
1/12/2022,3:00,8.668,47.6024
1/12/2022,3:30,8.593,47.4674
1/12/2022,4:00,8.543,47.3774
1/12/2022,4:30,8.494,47.2892
1/12/2022,5:00,8.419,47.1542
1/12/2022,5:30,8.369,47.0642
1/12/2022,6:00,8.295,46.931
1/12/2022,6:30,8.22,46.796
1/12/2022,7:00,8.17,46.706
1/12/2022,7:30,8.095,46.571
1/12/2022,8:00,8.045,46.481
1/12/2022,8:30,7.995,46.391
1/12/2022,9:00,7.97,46.346
1/12/2022,9:30,7.945,46.301
1/12/2022,10:00,7.97,46.346
1/12/2022,10:30,8.02,46.436
1/12/2022,11:00,8.12,46.616
1/12/2022,11:30,8.22,46.796
1/12/2022,12:00,8.369,47.0642
1/12/2022,12:30,8.494,47.2892
1/12/2022,13:00,8.643,47.5574
1/12/2022,13:30,8.767,47.7806
1/12/2022,14:00,8.916,48.0488
1/12/2022,14:30,8.99,48.182
1/12/2022,15:00,9.064,48.3152
1/12/2022,15:30,9.114,48.4052
1/12/2022,16:00,9.089,48.3602
1/12/2022,16:30,9.064,48.3152
1/12/2022,17:00,8.99,48.182
1/12/2022,17:30,8.916,48.0488
1/12/2022,18:00,8.841,47.9138
1/12/2022,18:30,8.792,47.8256
1/12/2022,19:00,8.742,47.7356
1/12/2022,19:30,8.717,47.6906
1/12/2022,20:00,8.717,47.6906
1/12/2022,20:30,8.717,47.6906
1/12/2022,21:00,8.717,47.6906
1/12/2022,21:30,8.668,47.6024
1/12/2022,22:00,8.643,47.5574
1/12/2022,22:30,8.618,47.5124
1/12/2022,23:00,8.593,47.4674
1/12/2022,23:30,8.568,47.4224
1/13/2022,0:00,8.568,47.4224
1/13/2022,0:30,8.568,47.4224
1/13/2022,1:00,8.568,47.4224
1/13/2022,1:30,8.568,47.4224
1/13/2022,2:00,8.543,47.3774
1/13/2022,2:30,8.543,47.3774
1/13/2022,3:00,8.519,47.3342
1/13/2022,3:30,8.494,47.2892
1/13/2022,4:00,8.469,47.2442
1/13/2022,4:30,8.419,47.1542
1/13/2022,5:00,8.369,47.0642
1/13/2022,5:30,8.319,46.9742
1/13/2022,6:00,8.295,46.931
1/13/2022,6:30,8.245,46.841
1/13/2022,7:00,8.195,46.751
1/13/2022,7:30,8.145,46.661
1/13/2022,8:00,8.12,46.616
1/13/2022,8:30,8.095,46.571
1/13/2022,9:00,8.07,46.526
1/13/2022,9:30,8.095,46.571
1/13/2022,10:00,8.12,46.616
1/13/2022,10:30,8.22,46.796
1/13/2022,11:00,8.319,46.9742
1/13/2022,11:30,8.469,47.2442
1/13/2022,12:00,8.593,47.4674
1/13/2022,12:30,8.742,47.7356
1/13/2022,13:00,8.891,48.0038
1/13/2022,13:30,9.04,48.272
1/13/2022,14:00,9.163,48.4934
1/13/2022,14:30,9.262,48.6716
1/13/2022,15:00,9.312,48.7616
1/13/2022,15:30,9.361,48.8498
1/13/2022,16:00,9.336,48.8048
1/13/2022,16:30,9.336,48.8048
1/13/2022,17:00,9.287,48.7166
1/13/2022,17:30,9.213,48.5834
1/13/2022,18:00,9.163,48.4934
1/13/2022,18:30,9.089,48.3602
1/13/2022,19:00,9.04,48.272
1/13/2022,19:30,9.015,48.227
1/13/2022,20:00,8.965,48.137
1/13/2022,20:30,8.965,48.137
1/13/2022,21:00,8.941,48.0938
1/13/2022,21:30,8.916,48.0488
1/13/2022,22:00,8.866,47.9588
1/13/2022,22:30,8.817,47.8706
1/13/2022,23:00,8.792,47.8256
1/13/2022,23:30,8.742,47.7356
1/14/2022,0:00,8.693,47.6474
1/14/2022,0:30,8.668,47.6024
1/14/2022,1:00,8.618,47.5124
1/14/2022,1:30,8.568,47.4224
1/14/2022,2:00,8.519,47.3342
1/14/2022,2:30,8.469,47.2442
1/14/2022,3:00,8.444,47.1992
1/14/2022,3:30,8.394,47.1092
1/14/2022,4:00,8.344,47.0192
1/14/2022,4:30,8.295,46.931
1/14/2022,5:00,8.245,46.841
1/14/2022,5:30,8.195,46.751
1/14/2022,6:00,8.145,46.661
1/14/2022,6:30,8.12,46.616
1/14/2022,7:00,8.07,46.526
1/14/2022,7:30,7.995,46.391
1/14/2022,8:00,7.945,46.301
1/14/2022,8:30,7.895,46.211
1/14/2022,9:00,7.87,46.166
1/14/2022,9:30,7.87,46.166
1/14/2022,10:00,7.895,46.211
1/14/2022,10:30,7.97,46.346
1/14/2022,11:00,8.095,46.571
1/14/2022,11:30,8.22,46.796
1/14/2022,12:00,8.369,47.0642
1/14/2022,12:30,8.519,47.3342
1/14/2022,13:00,8.693,47.6474
1/14/2022,13:30,8.841,47.9138
1/14/2022,14:00,8.99,48.182
1/14/2022,14:30,9.089,48.3602
1/14/2022,15:00,9.163,48.4934
1/14/2022,15:30,9.213,48.5834
1/14/2022,16:00,9.238,48.6284
1/14/2022,16:30,9.213,48.5834
1/14/2022,17:00,9.188,48.5384
1/14/2022,17:30,9.139,48.4502
1/14/2022,18:00,9.064,48.3152
1/14/2022,18:30,9.015,48.227
1/14/2022,19:00,8.965,48.137
1/14/2022,19:30,8.941,48.0938
1/14/2022,20:00,8.916,48.0488
1/14/2022,20:30,8.891,48.0038
1/14/2022,21:00,8.866,47.9588
1/14/2022,21:30,8.841,47.9138
1/14/2022,22:00,8.817,47.8706
1/14/2022,22:30,8.767,47.7806
1/14/2022,23:00,8.742,47.7356
1/14/2022,23:30,8.717,47.6906
1/15/2022,0:00,8.668,47.6024
1/15/2022,0:30,8.618,47.5124
1/15/2022,1:00,8.593,47.4674
1/15/2022,1:30,8.543,47.3774
1/15/2022,2:00,8.519,47.3342
1/15/2022,2:30,8.469,47.2442
1/15/2022,3:00,8.419,47.1542
1/15/2022,3:30,8.344,47.0192
1/15/2022,4:00,8.295,46.931
1/15/2022,4:30,8.245,46.841
1/15/2022,5:00,8.195,46.751
1/15/2022,5:30,8.145,46.661
1/15/2022,6:00,8.12,46.616
1/15/2022,6:30,8.07,46.526
1/15/2022,7:00,8.02,46.436
1/15/2022,7:30,7.995,46.391
1/15/2022,8:00,7.945,46.301
1/15/2022,8:30,7.92,46.256
1/15/2022,9:00,7.92,46.256
1/15/2022,9:30,7.92,46.256
1/15/2022,10:00,7.97,46.346
1/15/2022,10:30,8.045,46.481
1/15/2022,11:00,8.145,46.661
1/15/2022,11:30,8.22,46.796
1/15/2022,12:00,8.344,47.0192
1/15/2022,12:30,8.469,47.2442
1/15/2022,13:00,8.593,47.4674
1/15/2022,13:30,8.742,47.7356
1/15/2022,14:00,8.866,47.9588
1/15/2022,14:30,8.99,48.182
1/15/2022,15:00,9.064,48.3152
1/15/2022,15:30,9.114,48.4052
1/15/2022,16:00,9.114,48.4052
1/15/2022,16:30,9.114,48.4052
1/15/2022,17:00,9.064,48.3152
1/15/2022,17:30,9.015,48.227
1/15/2022,18:00,8.941,48.0938
1/15/2022,18:30,8.866,47.9588
