site,release_site,release_id,date_recaptured,number_recaptured,median_fork_length_recaptured
Clear Creek,VB,CLR183,2004-02-07,23,37
Clear Creek,VB,CLR183,2004-02-08,0,NA
Clear Creek,VB,CLR183,2004-02-09,0,NA
Clear Creek,VB,CLR183,2004-02-10,0,NA
Clear Creek,VB,CLR183,2004-02-11,0,NA
Clear Creek,CCRB,CLR184,2004-02-07,27,37
Clear Creek,CCRB,CLR184,2004-02-08,0,NA
Clear Creek,CCRB,CLR184,2004-02-09,0,NA
Clear Creek,CCRB,CLR184,2004-02-10,0,NA
Clear Creek,CCRB,CLR184,2004-02-11,0,NA
Clear Creek,CCRB,CLR185,2004-02-11,27,37
Clear Creek,CCRB,CLR185,2004-02-12,4,37
Clear Creek,CCRB,CLR185,2004-02-13,1,37
Clear Creek,CCRB,CLR185,2004-02-14,0,NA
Clear Creek,CCRB,CLR185,2004-02-15,0,NA
Clear Creek,VB,CLR186,2004-02-11,14,37
Clear Creek,VB,CLR186,2004-02-12,3,37
Clear Creek,VB,CLR186,2004-02-13,0,NA
Clear Creek,VB,CLR186,2004-02-14,0,NA
Clear Creek,VB,CLR186,2004-02-15,0,NA
Clear Creek,VB,CLR187,2004-02-14,12,37.5
Clear Creek,VB,CLR187,2004-02-15,0,NA
Clear Creek,VB,CLR187,2004-02-16,0,NA
Clear Creek,VB,CLR187,2004-02-17,0,NA
Clear Creek,VB,CLR187,2004-02-18,0,NA
Clear Creek,CCRB,CLR188,2004-02-14,31,38
Clear Creek,CCRB,CLR188,2004-02-15,8,38
Clear Creek,CCRB,CLR188,2004-02-16,0,NA
Clear Creek,CCRB,CLR188,2004-02-17,0,NA
Clear Creek,CCRB,CLR188,2004-02-18,0,NA
Clear Creek,VB,CLR189,2004-02-25,11,38
Clear Creek,VB,CLR189,2004-02-26,0,NA
Clear Creek,VB,CLR189,2004-02-27,0,NA
Clear Creek,VB,CLR189,2004-02-28,0,NA
Clear Creek,VB,CLR189,2004-02-29,0,NA
Clear Creek,CCRB,CLR190,2004-02-25,21,37
Clear Creek,CCRB,CLR190,2004-02-26,0,NA
Clear Creek,CCRB,CLR190,2004-02-27,0,NA
Clear Creek,CCRB,CLR190,2004-02-28,0,NA
Clear Creek,CCRB,CLR190,2004-02-29,0,NA
Clear Creek,VB,CLR191,2004-03-03,10,37
Clear Creek,VB,CLR191,2004-03-04,1,37
Clear Creek,VB,CLR191,2004-03-05,0,NA
Clear Creek,VB,CLR191,2004-03-06,0,NA
Clear Creek,VB,CLR191,2004-03-07,0,NA
Clear Creek,CCRB,CLR192,2004-03-03,29,38
Clear Creek,CCRB,CLR192,2004-03-04,11,38
Clear Creek,CCRB,CLR192,2004-03-05,0,NA
Clear Creek,CCRB,CLR192,2004-03-06,0,NA
Clear Creek,CCRB,CLR192,2004-03-07,0,NA
Clear Creek,VB,CLR193,2004-03-06,12,38
Clear Creek,VB,CLR193,2004-03-07,1,38
Clear Creek,VB,CLR193,2004-03-08,0,NA
Clear Creek,VB,CLR193,2004-03-09,0,NA
Clear Creek,VB,CLR193,2004-03-10,0,NA
Clear Creek,CCRB,CLR194,2004-03-06,45,38
Clear Creek,CCRB,CLR194,2004-03-07,4,38
Clear Creek,CCRB,CLR194,2004-03-08,1,38
Clear Creek,CCRB,CLR194,2004-03-09,0,NA
Clear Creek,CCRB,CLR194,2004-03-10,0,NA
Clear Creek,CCRB,CLR195,2004-03-06,5,44.5
Clear Creek,CCRB,CLR195,2004-03-07,1,44.5
Clear Creek,CCRB,CLR195,2004-03-08,0,NA
Clear Creek,CCRB,CLR195,2004-03-09,0,NA
Clear Creek,CCRB,CLR195,2004-03-10,0,NA
Clear Creek,VB,CLR196,2004-03-10,4,39.5
Clear Creek,VB,CLR196,2004-03-11,0,NA
Clear Creek,VB,CLR196,2004-03-12,0,NA
Clear Creek,VB,CLR196,2004-03-13,0,NA
Clear Creek,VB,CLR196,2004-03-14,0,NA
Clear Creek,CCRB,CLR197,2004-03-10,31,38
Clear Creek,CCRB,CLR197,2004-03-11,2,38
Clear Creek,CCRB,CLR197,2004-03-12,0,NA
Clear Creek,CCRB,CLR197,2004-03-13,0,NA
Clear Creek,CCRB,CLR197,2004-03-14,0,NA
Clear Creek,VB,CLR198,2004-03-13,11,38
Clear Creek,VB,CLR198,2004-03-14,0,NA
Clear Creek,VB,CLR198,2004-03-15,0,NA
Clear Creek,VB,CLR198,2004-03-16,0,NA
Clear Creek,VB,CLR198,2004-03-17,0,NA
Clear Creek,CCRB,CLR199,2004-03-13,45,37
Clear Creek,CCRB,CLR199,2004-03-14,11,37
Clear Creek,CCRB,CLR199,2004-03-15,1,37
Clear Creek,CCRB,CLR199,2004-03-16,0,NA
Clear Creek,CCRB,CLR199,2004-03-17,0,NA
Clear Creek,CCRB,CLR200,2004-03-13,3,49
Clear Creek,CCRB,CLR200,2004-03-14,0,NA
Clear Creek,CCRB,CLR200,2004-03-15,0,NA
Clear Creek,CCRB,CLR200,2004-03-16,0,NA
Clear Creek,CCRB,CLR200,2004-03-17,0,NA
Clear Creek,VB,CLR201,2004-03-17,10,38
Clear Creek,VB,CLR201,2004-03-18,1,38
Clear Creek,VB,CLR201,2004-03-19,0,NA
Clear Creek,VB,CLR201,2004-03-20,0,NA
Clear Creek,VB,CLR201,2004-03-21,0,NA
Clear Creek,CCRB,CLR202,2004-03-17,40,37
Clear Creek,CCRB,CLR202,2004-03-18,3,37
Clear Creek,CCRB,CLR202,2004-03-19,0,NA
Clear Creek,CCRB,CLR202,2004-03-20,0,NA
Clear Creek,CCRB,CLR202,2004-03-21,1,37
Clear Creek,CCRB,CLR203,2004-03-17,1,63
Clear Creek,CCRB,CLR203,2004-03-18,0,NA
Clear Creek,CCRB,CLR203,2004-03-19,0,NA
Clear Creek,CCRB,CLR203,2004-03-20,0,NA
Clear Creek,CCRB,CLR203,2004-03-21,0,NA
Clear Creek,VB,CLR204,2004-03-27,6,37
Clear Creek,VB,CLR204,2004-03-28,1,37
Clear Creek,VB,CLR204,2004-03-29,0,NA
Clear Creek,VB,CLR204,2004-03-30,0,NA
Clear Creek,VB,CLR204,2004-03-31,0,NA
Clear Creek,CCRB,CLR205,2004-03-27,8,38
Clear Creek,CCRB,CLR205,2004-03-28,10,38
Clear Creek,CCRB,CLR205,2004-03-29,2,38
Clear Creek,CCRB,CLR205,2004-03-30,0,NA
Clear Creek,CCRB,CLR205,2004-03-31,0,NA
Clear Creek,CCRB,CLR206,2004-03-27,3,70
Clear Creek,CCRB,CLR206,2004-03-28,0,NA
Clear Creek,CCRB,CLR206,2004-03-29,0,NA
Clear Creek,CCRB,CLR206,2004-03-30,0,NA
Clear Creek,CCRB,CLR206,2004-03-31,0,NA
Clear Creek,CCRB,CLR207,2004-04-03,45,39
Clear Creek,CCRB,CLR207,2004-04-04,1,39
Clear Creek,CCRB,CLR207,2004-04-05,3,39
Clear Creek,CCRB,CLR207,2004-04-06,0,NA
Clear Creek,CCRB,CLR207,2004-04-07,0,NA
Clear Creek,CCRB,CLR208,2004-04-03,11,52
Clear Creek,CCRB,CLR208,2004-04-04,1,52
Clear Creek,CCRB,CLR208,2004-04-05,0,NA
Clear Creek,CCRB,CLR208,2004-04-06,1,52
Clear Creek,CCRB,CLR208,2004-04-07,0,NA
Clear Creek,CCRB,CLR209,2004-04-10,6,37
Clear Creek,CCRB,CLR209,2004-04-11,0,NA
Clear Creek,CCRB,CLR209,2004-04-12,0,NA
Clear Creek,CCRB,CLR209,2004-04-13,0,NA
Clear Creek,CCRB,CLR209,2004-04-14,0,NA
Clear Creek,CCRB,CLR210,2004-04-10,4,54
Clear Creek,CCRB,CLR210,2004-04-11,1,54
Clear Creek,CCRB,CLR210,2004-04-12,0,NA
Clear Creek,CCRB,CLR210,2004-04-13,0,NA
Clear Creek,CCRB,CLR210,2004-04-14,0,NA
Clear Creek,CCRB,CLR211,2004-04-17,13,37
Clear Creek,CCRB,CLR211,2004-04-18,5,37
Clear Creek,CCRB,CLR211,2004-04-19,0,NA
Clear Creek,CCRB,CLR211,2004-04-20,0,NA
Clear Creek,CCRB,CLR211,2004-04-21,0,NA
Clear Creek,CCRB,CLR212,2004-04-17,8,64.5
Clear Creek,CCRB,CLR212,2004-04-18,6,64.5
Clear Creek,CCRB,CLR212,2004-04-19,3,64.5
Clear Creek,CCRB,CLR212,2004-04-20,1,64.5
Clear Creek,CCRB,CLR212,2004-04-21,0,NA
Clear Creek,VB,CLR213,2005-01-05,7,36.5
Clear Creek,VB,CLR213,2005-01-06,1,36.5
Clear Creek,VB,CLR213,2005-01-07,0,NA
Clear Creek,VB,CLR213,2005-01-08,0,NA
Clear Creek,VB,CLR213,2005-01-09,0,NA
Clear Creek,CCRB,CLR214,2005-01-05,10,35.5
Clear Creek,CCRB,CLR214,2005-01-06,0,NA
Clear Creek,CCRB,CLR214,2005-01-07,0,NA
Clear Creek,CCRB,CLR214,2005-01-08,0,NA
Clear Creek,CCRB,CLR214,2005-01-09,0,NA
Clear Creek,VB,CLR215,2005-01-08,4,34.5
Clear Creek,VB,CLR215,2005-01-09,0,NA
Clear Creek,VB,CLR215,2005-01-10,0,NA
Clear Creek,VB,CLR215,2005-01-11,0,NA
Clear Creek,VB,CLR215,2005-01-12,0,NA
Clear Creek,CCRB,CLR216,2005-01-08,3,35
Clear Creek,CCRB,CLR216,2005-01-09,2,35
Clear Creek,CCRB,CLR216,2005-01-10,0,NA
Clear Creek,CCRB,CLR216,2005-01-11,0,NA
Clear Creek,CCRB,CLR216,2005-01-12,0,NA
Clear Creek,VB,CLR217,2005-01-12,18,37
Clear Creek,VB,CLR217,2005-01-13,0,NA
Clear Creek,VB,CLR217,2005-01-14,0,NA
Clear Creek,VB,CLR217,2005-01-15,0,NA
Clear Creek,VB,CLR217,2005-01-16,0,NA
Clear Creek,CCRB,CLR218,2005-01-12,13,37
Clear Creek,CCRB,CLR218,2005-01-13,0,NA
Clear Creek,CCRB,CLR218,2005-01-14,0,NA
Clear Creek,CCRB,CLR218,2005-01-15,0,NA
Clear Creek,CCRB,CLR218,2005-01-16,0,NA
Clear Creek,VB,CLR219,2005-01-14,11,37
Clear Creek,VB,CLR219,2005-01-15,0,NA
Clear Creek,VB,CLR219,2005-01-16,0,NA
Clear Creek,VB,CLR219,2005-01-17,0,NA
Clear Creek,VB,CLR219,2005-01-18,0,NA
Clear Creek,CCRB,CLR220,2005-01-15,13,36
Clear Creek,CCRB,CLR220,2005-01-16,2,36
Clear Creek,CCRB,CLR220,2005-01-17,0,NA
Clear Creek,CCRB,CLR220,2005-01-18,0,NA
Clear Creek,CCRB,CLR220,2005-01-19,0,NA
Clear Creek,VB,CLR221,2005-01-18,1,43
Clear Creek,VB,CLR221,2005-01-19,0,NA
Clear Creek,VB,CLR221,2005-01-20,0,NA
Clear Creek,VB,CLR221,2005-01-21,0,NA
Clear Creek,VB,CLR221,2005-01-22,0,NA
Clear Creek,CCRB,CLR222,2005-01-18,0,NA
Clear Creek,CCRB,CLR222,2005-01-19,2,36
Clear Creek,CCRB,CLR222,2005-01-20,0,NA
Clear Creek,CCRB,CLR222,2005-01-21,0,NA
Clear Creek,CCRB,CLR222,2005-01-22,0,NA
Clear Creek,VB,CLR223,2005-01-22,6,36.5
Clear Creek,VB,CLR223,2005-01-23,0,NA
Clear Creek,VB,CLR223,2005-01-24,0,NA
Clear Creek,VB,CLR223,2005-01-25,0,NA
Clear Creek,VB,CLR223,2005-01-26,0,NA
Clear Creek,CCRB,CLR224,2005-01-22,23,37
Clear Creek,CCRB,CLR224,2005-01-23,0,NA
Clear Creek,CCRB,CLR224,2005-01-24,2,37
Clear Creek,CCRB,CLR224,2005-01-25,0,NA
Clear Creek,CCRB,CLR224,2005-01-26,0,NA
Clear Creek,VB,CLR225,2005-01-26,6,37
Clear Creek,VB,CLR225,2005-01-27,5,37
Clear Creek,VB,CLR225,2005-01-28,0,NA
Clear Creek,VB,CLR225,2005-01-29,0,NA
Clear Creek,VB,CLR225,2005-01-30,0,NA
Clear Creek,CCRB,CLR226,2005-01-26,7,38
Clear Creek,CCRB,CLR226,2005-01-27,0,NA
Clear Creek,CCRB,CLR226,2005-01-28,0,NA
Clear Creek,CCRB,CLR226,2005-01-29,0,NA
Clear Creek,CCRB,CLR226,2005-01-30,0,NA
Clear Creek,VB,CLR227,2005-01-29,NA,NA
Clear Creek,VB,CLR227,2005-01-30,NA,NA
Clear Creek,VB,CLR227,2005-01-31,NA,NA
Clear Creek,VB,CLR227,2005-02-01,NA,NA
Clear Creek,VB,CLR227,2005-02-02,NA,NA
Clear Creek,CCRB,CLR228,2005-01-29,14,36
Clear Creek,CCRB,CLR228,2005-01-30,0,NA
Clear Creek,CCRB,CLR228,2005-01-31,1,36
Clear Creek,CCRB,CLR228,2005-02-01,0,NA
Clear Creek,CCRB,CLR228,2005-02-02,0,NA
Clear Creek,VB,CLR229,2005-02-02,7,38
Clear Creek,VB,CLR229,2005-02-03,0,NA
Clear Creek,VB,CLR229,2005-02-04,0,NA
Clear Creek,VB,CLR229,2005-02-05,0,NA
Clear Creek,VB,CLR229,2005-02-06,0,NA
Clear Creek,CCRB,CLR230,2005-02-02,20,36
Clear Creek,CCRB,CLR230,2005-02-03,3,36
Clear Creek,CCRB,CLR230,2005-02-04,0,NA
Clear Creek,CCRB,CLR230,2005-02-05,0,NA
Clear Creek,CCRB,CLR230,2005-02-06,0,NA
Clear Creek,VB,CLR231,2005-02-05,23,37
Clear Creek,VB,CLR231,2005-02-06,2,37
Clear Creek,VB,CLR231,2005-02-07,0,NA
Clear Creek,VB,CLR231,2005-02-08,0,NA
Clear Creek,VB,CLR231,2005-02-09,0,NA
Clear Creek,CCRB,CLR232,2005-02-05,14,37
Clear Creek,CCRB,CLR232,2005-02-06,0,NA
Clear Creek,CCRB,CLR232,2005-02-07,0,NA
Clear Creek,CCRB,CLR232,2005-02-08,0,NA
Clear Creek,CCRB,CLR232,2005-02-09,0,NA
Clear Creek,VB,CLR233,2005-02-09,16,38
Clear Creek,VB,CLR233,2005-02-10,0,NA
Clear Creek,VB,CLR233,2005-02-11,0,NA
Clear Creek,VB,CLR233,2005-02-12,0,NA
Clear Creek,VB,CLR233,2005-02-13,0,NA
Clear Creek,CCRB,CLR234,2005-02-09,9,37
Clear Creek,CCRB,CLR234,2005-02-10,1,37
Clear Creek,CCRB,CLR234,2005-02-11,0,NA
Clear Creek,CCRB,CLR234,2005-02-12,0,NA
Clear Creek,CCRB,CLR234,2005-02-13,0,NA
Clear Creek,VB,CLR235,2005-02-12,15,37
Clear Creek,VB,CLR235,2005-02-13,0,NA
Clear Creek,VB,CLR235,2005-02-14,0,NA
Clear Creek,VB,CLR235,2005-02-15,0,NA
Clear Creek,VB,CLR235,2005-02-16,0,NA
Clear Creek,CCRB,CLR236,2005-02-12,31,37
Clear Creek,CCRB,CLR236,2005-02-13,0,NA
Clear Creek,CCRB,CLR236,2005-02-14,2,37
Clear Creek,CCRB,CLR236,2005-02-15,0,NA
Clear Creek,CCRB,CLR236,2005-02-16,0,NA
Clear Creek,VB,CLR237,2005-02-16,5,38
Clear Creek,VB,CLR237,2005-02-17,4,38
Clear Creek,VB,CLR237,2005-02-18,0,NA
Clear Creek,VB,CLR237,2005-02-19,0,NA
Clear Creek,VB,CLR237,2005-02-20,0,NA
Clear Creek,CCRB,CLR238,2005-02-16,47,36
Clear Creek,CCRB,CLR238,2005-02-17,0,NA
Clear Creek,CCRB,CLR238,2005-02-18,0,NA
Clear Creek,CCRB,CLR238,2005-02-19,0,NA
Clear Creek,CCRB,CLR238,2005-02-20,0,NA
Clear Creek,VB,CLR239,2005-02-19,8,37
Clear Creek,VB,CLR239,2005-02-20,9,37
Clear Creek,VB,CLR239,2005-02-21,0,NA
Clear Creek,VB,CLR239,2005-02-22,0,NA
Clear Creek,VB,CLR239,2005-02-23,0,NA
Clear Creek,CCRB,CLR240,2005-02-19,41,37
Clear Creek,CCRB,CLR240,2005-02-20,2,37
Clear Creek,CCRB,CLR240,2005-02-21,0,NA
Clear Creek,CCRB,CLR240,2005-02-22,0,NA
Clear Creek,CCRB,CLR240,2005-02-23,0,NA
Clear Creek,VB,CLR241,2005-02-23,1,35
Clear Creek,VB,CLR241,2005-02-24,2,35
Clear Creek,VB,CLR241,2005-02-25,1,35
Clear Creek,VB,CLR241,2005-02-26,0,NA
Clear Creek,VB,CLR241,2005-02-27,0,NA
Clear Creek,CCRB,CLR242,2005-02-23,53,37
Clear Creek,CCRB,CLR242,2005-02-24,3,37
Clear Creek,CCRB,CLR242,2005-02-25,1,37
Clear Creek,CCRB,CLR242,2005-02-26,0,NA
Clear Creek,CCRB,CLR242,2005-02-27,0,NA
Clear Creek,VB,CLR243,2005-02-26,7,36
Clear Creek,VB,CLR243,2005-02-27,0,NA
Clear Creek,VB,CLR243,2005-02-28,1,36
Clear Creek,VB,CLR243,2005-03-01,0,NA
Clear Creek,VB,CLR243,2005-03-02,0,NA
Clear Creek,CCRB,CLR244,2005-02-26,47,36
Clear Creek,CCRB,CLR244,2005-02-27,0,NA
Clear Creek,CCRB,CLR244,2005-02-28,0,NA
Clear Creek,CCRB,CLR244,2005-03-01,0,NA
Clear Creek,CCRB,CLR244,2005-03-02,0,NA
Clear Creek,VB,CLR245,2005-03-02,6,37
Clear Creek,VB,CLR245,2005-03-03,1,37
Clear Creek,VB,CLR245,2005-03-04,0,NA
Clear Creek,VB,CLR245,2005-03-05,0,NA
Clear Creek,VB,CLR245,2005-03-06,0,NA
Clear Creek,CCRB,CLR246,2005-03-02,32,36
Clear Creek,CCRB,CLR246,2005-03-03,2,36
Clear Creek,CCRB,CLR246,2005-03-04,1,36
Clear Creek,CCRB,CLR246,2005-03-05,0,NA
Clear Creek,CCRB,CLR246,2005-03-06,0,NA
Clear Creek,VB,CLR247,2005-03-05,11,36
Clear Creek,VB,CLR247,2005-03-06,0,NA
Clear Creek,VB,CLR247,2005-03-07,0,NA
Clear Creek,VB,CLR247,2005-03-08,0,NA
Clear Creek,VB,CLR247,2005-03-09,0,NA
Clear Creek,CCRB,CLR248,2005-03-05,31,36
Clear Creek,CCRB,CLR248,2005-03-06,1,36
Clear Creek,CCRB,CLR248,2005-03-07,0,NA
Clear Creek,CCRB,CLR248,2005-03-08,0,NA
Clear Creek,CCRB,CLR248,2005-03-09,0,NA
Clear Creek,VB,CLR249,2005-03-09,3,37
Clear Creek,VB,CLR249,2005-03-10,0,NA
Clear Creek,VB,CLR249,2005-03-11,0,NA
Clear Creek,VB,CLR249,2005-03-12,0,NA
Clear Creek,VB,CLR249,2005-03-13,0,NA
Clear Creek,CCRB,CLR250,2005-03-09,17,36
Clear Creek,CCRB,CLR250,2005-03-10,0,NA
Clear Creek,CCRB,CLR250,2005-03-11,0,NA
Clear Creek,CCRB,CLR250,2005-03-12,0,NA
Clear Creek,CCRB,CLR250,2005-03-13,0,NA
Clear Creek,VB,CLR251,2005-03-12,2,37.5
Clear Creek,VB,CLR251,2005-03-13,0,NA
Clear Creek,VB,CLR251,2005-03-14,0,NA
Clear Creek,VB,CLR251,2005-03-15,0,NA
Clear Creek,VB,CLR251,2005-03-16,0,NA
Clear Creek,CCRB,CLR252,2005-03-12,21,37
Clear Creek,CCRB,CLR252,2005-03-13,2,37
Clear Creek,CCRB,CLR252,2005-03-14,0,NA
Clear Creek,CCRB,CLR252,2005-03-15,0,NA
Clear Creek,CCRB,CLR252,2005-03-16,0,NA
Clear Creek,VB,CLR253,2005-03-16,2,33
Clear Creek,VB,CLR253,2005-03-17,0,NA
Clear Creek,VB,CLR253,2005-03-18,0,NA
Clear Creek,VB,CLR253,2005-03-19,0,NA
Clear Creek,VB,CLR253,2005-03-20,0,NA
Clear Creek,CCRB,CLR254,2005-03-16,9,35
Clear Creek,CCRB,CLR254,2005-03-17,0,NA
Clear Creek,CCRB,CLR254,2005-03-18,1,35
Clear Creek,CCRB,CLR254,2005-03-19,0,NA
Clear Creek,CCRB,CLR254,2005-03-20,0,NA
Clear Creek,VB,CLR255,2005-03-26,1,NA
Clear Creek,VB,CLR255,2005-03-27,0,NA
Clear Creek,VB,CLR255,2005-03-28,0,NA
Clear Creek,VB,CLR255,2005-03-29,0,NA
Clear Creek,VB,CLR255,2005-03-30,0,NA
Clear Creek,CCRB,CLR256,2005-03-26,33,36
Clear Creek,CCRB,CLR256,2005-03-27,0,NA
Clear Creek,CCRB,CLR256,2005-03-28,0,NA
Clear Creek,CCRB,CLR256,2005-03-29,0,NA
Clear Creek,CCRB,CLR256,2005-03-30,0,NA
Clear Creek,VB,CLR257,2005-03-30,33,38
Clear Creek,VB,CLR257,2005-03-31,0,NA
Clear Creek,VB,CLR257,2005-04-01,0,NA
Clear Creek,VB,CLR257,2005-04-02,0,NA
Clear Creek,VB,CLR257,2005-04-03,0,NA
Clear Creek,CCRB,CLR258,2005-03-30,33,43
Clear Creek,CCRB,CLR258,2005-03-31,4,43
Clear Creek,CCRB,CLR258,2005-04-01,0,NA
Clear Creek,CCRB,CLR258,2005-04-02,0,NA
Clear Creek,CCRB,CLR258,2005-04-03,0,NA
Clear Creek,CCRB,CLR259,2005-04-02,36,38.5
Clear Creek,CCRB,CLR259,2005-04-03,1,38.5
Clear Creek,CCRB,CLR259,2005-04-04,1,38.5
Clear Creek,CCRB,CLR259,2005-04-05,0,NA
Clear Creek,CCRB,CLR259,2005-04-06,0,NA
Clear Creek,VB,CLR260,2005-04-02,21,36
Clear Creek,VB,CLR260,2005-04-03,0,NA
Clear Creek,VB,CLR260,2005-04-04,0,NA
Clear Creek,VB,CLR260,2005-04-05,0,NA
Clear Creek,VB,CLR260,2005-04-06,0,NA
Clear Creek,VB,CLR261,2005-04-06,31,36
Clear Creek,VB,CLR261,2005-04-07,0,NA
Clear Creek,VB,CLR261,2005-04-08,0,NA
Clear Creek,VB,CLR261,2005-04-09,0,NA
Clear Creek,VB,CLR261,2005-04-10,0,NA
Clear Creek,CCRB,CLR262,2005-04-06,34,36
Clear Creek,CCRB,CLR262,2005-04-07,3,36
Clear Creek,CCRB,CLR262,2005-04-08,0,NA
Clear Creek,CCRB,CLR262,2005-04-09,0,NA
Clear Creek,CCRB,CLR262,2005-04-10,0,NA
Clear Creek,VB,CLR263,2005-04-09,15,37
Clear Creek,VB,CLR263,2005-04-10,2,37
Clear Creek,VB,CLR263,2005-04-11,0,NA
Clear Creek,VB,CLR263,2005-04-12,0,NA
Clear Creek,VB,CLR263,2005-04-13,0,NA
Clear Creek,CCRB,CLR264,2005-04-09,25,39
Clear Creek,CCRB,CLR264,2005-04-10,2,39
Clear Creek,CCRB,CLR264,2005-04-11,0,NA
Clear Creek,CCRB,CLR264,2005-04-12,0,NA
Clear Creek,CCRB,CLR264,2005-04-13,0,NA
Clear Creek,CCRB,CLR265,2005-04-13,21,53
Clear Creek,CCRB,CLR265,2005-04-14,20,53
Clear Creek,CCRB,CLR265,2005-04-15,0,NA
Clear Creek,CCRB,CLR265,2005-04-16,0,NA
Clear Creek,CCRB,CLR265,2005-04-17,0,NA
Clear Creek,VB,CLR266,2005-04-13,24,44
Clear Creek,VB,CLR266,2005-04-14,6,44
Clear Creek,VB,CLR266,2005-04-15,0,NA
Clear Creek,VB,CLR266,2005-04-16,0,NA
Clear Creek,VB,CLR266,2005-04-17,0,NA
Clear Creek,VB,CLR267,2005-04-16,25,48.5
Clear Creek,VB,CLR267,2005-04-17,0,NA
Clear Creek,VB,CLR267,2005-04-18,1,48.5
Clear Creek,VB,CLR267,2005-04-19,0,NA
Clear Creek,VB,CLR267,2005-04-20,0,NA
Clear Creek,CCRB,CLR268,2005-04-16,11,62
Clear Creek,CCRB,CLR268,2005-04-17,2,62
Clear Creek,CCRB,CLR268,2005-04-18,2,62
Clear Creek,CCRB,CLR268,2005-04-19,0,NA
Clear Creek,CCRB,CLR268,2005-04-20,0,NA
Clear Creek,VB,CLR269,2005-04-20,15,48
Clear Creek,VB,CLR269,2005-04-21,1,48
Clear Creek,VB,CLR269,2005-04-22,0,NA
Clear Creek,VB,CLR269,2005-04-23,0,NA
Clear Creek,VB,CLR269,2005-04-24,0,NA
Clear Creek,CCRB,CLR270,2005-04-20,29,53
Clear Creek,CCRB,CLR270,2005-04-21,2,53
Clear Creek,CCRB,CLR270,2005-04-22,0,NA
Clear Creek,CCRB,CLR270,2005-04-23,0,NA
Clear Creek,CCRB,CLR270,2005-04-24,0,NA
